fold,accuracy,precision,recall,f1_score,n_samples
1,0.9617871840094062,0.9630149867821437,0.9617871840094062,0.9618934809366811,1701
2,0.9570840681951793,0.9605935143410118,0.9570840681951793,0.95749961861394,1701
3,0.9647266313932981,0.9649996894089943,0.9647266313932981,0.9640191809910593,1701
4,0.9723691945914168,0.973068429553812,0.9723691945914168,0.9724248188763845,1701
5,0.969429747207525,0.970953948311646,0.969429747207525,0.9693104264399711,1701
6,0.9647266313932981,0.966077593290199,0.9647266313932981,0.9644546296590629,1701
7,0.9670588235294117,0.9684674232365456,0.9670588235294117,0.9666539496803684,1700
8,0.9676470588235294,0.9684029491276608,0.9676470588235294,0.9672667130114734,1700
9,0.9594117647058824,0.9609909496462098,0.9594117647058824,0.9593597857025068,1700
10,0.9641176470588235,0.9649679779034608,0.9641176470588235,0.963896114060302,1700
