fold,accuracy,precision,recall,f1_score,n_samples
1,0.9594356261022927,0.9606496652306785,0.9594356261022927,0.959155549788574,1701
2,0.9535567313345091,0.9564660504422166,0.9535567313345091,0.9537278325518238,1701
3,0.9617871840094062,0.9623026384856732,0.9617871840094062,0.9605735299336462,1701
4,0.9700176366843033,0.9705213742504896,0.9700176366843033,0.9699258851281313,1701
5,0.9641387419165197,0.9663616329098562,0.9641387419165197,0.9640417290203331,1701
6,0.9635508524397414,0.965140168288565,0.9635508524397414,0.9632647964933378,1701
7,0.9652941176470589,0.966399210467524,0.9652941176470589,0.96486799022911,1700
8,0.9664705882352941,0.9680665309809184,0.9664705882352941,0.965867769472713,1700
9,0.9505882352941176,0.9537650053434825,0.9505882352941176,0.9507984207840888,1700
10,0.9652941176470589,0.9661368064363663,0.9652941176470589,0.9648582153053881,1700
