Fold,Accuracy,Precision,Recall,F1-Score
1,0.9576719576719577,0.9440525240434268,0.9417989417989417,0.9416372903956313
2,0.9465020576131687,0.9415608734237491,0.9394473838918284,0.9398346048191295
3,0.9476778365667254,0.9464387242982613,0.9453262786596119,0.945162561034436
4,0.9512051734273956,0.9444020165821798,0.9400352733686067,0.9396764441056407
5,0.9523809523809523,0.9505320843797859,0.9500293944738389,0.949655851905574
6,0.956496178718401,0.9563681804434606,0.9553203997648442,0.9554355597896198
7,0.9582352941176471,0.9512027224340317,0.9505882352941176,0.9503975728595889
8,0.9535294117647058,0.947753762357139,0.9476470588235294,0.9467142501452303
9,0.94,0.9295562594233628,0.9276470588235294,0.9271834447052816
10,0.9523529411764706,0.9478670598005036,0.9476470588235294,0.9472898616887988
