fold,accuracy,precision,recall,f1
1,0.9053497942386831,0.9076329993529184,0.9053497942386831,0.905665517722522
2,0.8994708994708994,0.8985895684543624,0.8994708994708994,0.8987945810993195
3,0.9012345679012346,0.9018191190542407,0.9012345679012346,0.9006627699377943
4,0.9018224573780129,0.9032021291129394,0.9018224573780129,0.9014558994387964
5,0.9041740152851264,0.9051743892609873,0.9041740152851264,0.90427233410397
6,0.9071134626690183,0.9079427518086047,0.9071134626690183,0.9067222902778943
7,0.9029411764705882,0.9027160594553711,0.9029411764705882,0.9025228131748391
8,0.8976470588235295,0.8983745933189536,0.8976470588235295,0.8973700562848229
9,0.8970588235294118,0.8963543778340556,0.8970588235294118,0.8962865729718723
10,0.9064705882352941,0.9074893564368416,0.9064705882352941,0.906173512933288
